	0	1	2
0	Hatip	Erkek	Arapça
1	Hicri	Erkek	Bilinmiyor
2	Lut	Erkek	Arapça
3	Bağdaş	Erkek	Türkçe
4	Balı	Erkek	Türkçe
5	Azadi	Erkek	Farsça
6	Cankız	Erkek	Farsça-Türkçe
7	Yalkın	Erkek	Türkçe
8	Cihanşah	Erkek	Farsça
9	Çoban	Erkek	Farsça
10	Köklü	Erkek	Türkçe
11	Aslıbey	Erkek	Arapça-Türkçe
12	Canaydın	Erkek	Türkçe
13	Alkan	Erkek	Türkçe
14	İhya	Erkek-Kız	Arapça
15	Zahir	Erkek	Arapça
16	Feyha	Erkek-Kız	Arapça
17	Telli	Erkek-Kız	Türkçe
18	Günkut	Erkek-Kız	Türkçe
19	Mançuhan	Erkek	Türkçe
20	Rüçhan	Erkek-Kız	Arapça
21	Abgun	Erkek	Farsça
22	Akınalp	Erkek	Türkçe
23	Türkalp	Erkek	Türkçe
24	Oğuzalp	Erkek	Türkçe
25	Ülgen	Erkek-Kız	Türkçe
26	Nart	Erkek	Türkçe
27	Tümkoç	Erkek	Türkçe
28	Erandaç	Erkek	Türkçe
29	Dalgıç	Erkek	Türkçe
30	Yada	Erkek-Kız	Türkçe
31	Uğural	Erkek	Türkçe
32	Edgübay	Erkek	Türkçe
33	Idıkut	Erkek	Türkçe
34	Feramuz	Erkek	Farsça
35	Zade	Erkek	Farsça
36	Dağdelen	Erkek	Türkçe
37	Übeyd	Erkek	Arapça
38	Arkadaş	Erkek	Türkçe
39	Şayeste	Erkek-Kız	Farsça
40	Dikeç	Erkek	Türkçe
41	Sağanak	Erkek	Türkçe
42	Kızıl	Erkek	Türkçe
43	Pakalın	Erkek	Farsça
44	Ardıl	Erkek	Türkçe
45	Vecdi	Erkek	Bilinmiyor
46	Nilhan	Erkek-Kız	Farsça
47	Ecer	Erkek-Kız	Türkçe
48	Lâmi	Erkek	Arapça
49	Behmen	Erkek	Farsça
50	Mançu	Erkek	Türkçe
51	Canay	Erkek-Kız	Türkçe
52	İlkan	Erkek	Türkçe
53	Gökçesu	Erkek	Türkçe
54	Gökçer	Erkek	Türkçe
55	Tunga	Erkek	Türkçe
56	Teymur	Erkek	Türkçe
57	Oktar	Erkek	Bilinmiyor
58	İlbars	Erkek	Farsça-Türkçe
59	Bayar	Erkek	Bilinmiyor
60	İzzettin	Erkek	Arapça
61	Zekai	Erkek	Arapça
62	Değer	Erkek-Kız	Türkçe
63	Kevkep	Erkek-Kız	Arapça
64	Cemşah	Erkek	Farsça
65	Beşaret	Erkek-Kız	Arapça
66	Emran	Erkek	Arapça
67	Azrak	Erkek	Türkçe
68	Bilgetürk	Erkek	Türkçe
69	Tuğ	Erkek	Türkçe
70	Cebrail	Erkek	Arapça
71	Feyiz	Erkek	Arapça
72	Bener	Erkek	Türkçe
73	Faris	Erkek	Arapça
74	Abhiz	Erkek	Farsça
75	Danişment	Erkek	Farsça
76	Burhanettin	Erkek	Arapça
77	Güntülü	Erkek-Kız	Arapça-Türkçe
78	Cihanmert	Erkek	Farsça
79	Çağanak	Erkek	Türkçe
80	Tanay	Erkek-Kız	Türkçe
81	Eralp	Erkek	Türkçe
82	Berge	Erkek	Türkçe
83	Oğur	Erkek	Türkçe
84	Mirhan	Erkek-Kız	Farsça
85	Ebed	Erkek	Arapça
86	Ağaner	Erkek	Türkçe
87	Cansun	Erkek-Kız	Farsça
88	Baykal	Erkek	Bilinmiyor
89	Dağa	Erkek	Türkçe
90	Vahdettin	Erkek	Arapça
91	Tümkor	Erkek	Türkçe
92	Şahalem	Erkek	Arapça-Farsça
93	Beliğ	Erkek	Arapça
94	Enbiya	Erkek	Arapça
95	Akçora	Erkek	Türkçe
96	Eriş	Erkek-Kız	Türkçe
97	Genç	Erkek	Türkçe
98	Çin	Erkek	Türkçe
99	Zaman	Erkek	Arapça
100	Melikhan	Erkek	Arapça
101	Nacil	Erkek	Arapça
102	Aznavur	Erkek	Gürcüce
103	Öget	Erkek-Kız	Türkçe
104	Çalışkan	Erkek-Kız	Türkçe
105	Büge	Erkek-Kız	Türkçe
106	Birtan	Erkek	Türkçe
107	Oflaz	Erkek-Kız	Türkçe
108	Zeynur	Erkek	Arapça
109	Göktuna	Erkek	Türkçe
110	Bağışhan	Erkek	Türkçe
111	Sada	Erkek-Kız	Arapça
112	İdikurt	Erkek	Türkçe
113	Atagün	Erkek	Türkçe
114	İnanç	Erkek-Kız	Türkçe
