name,gender,origin
Aba,f,tr
Abaç,f,tr
Abaca,f,tr
Abacan,f,pr-tr
Abad,m,pr
Abay,m,tr
Abayhan,m,n/a
Abaza,f,ar
Abbad,m,ar
Abbas,m,ar
Abdal,m,ar
Abdi,m,ar
Abdülâlim,m,ar
Abdülazim,m,ar
Abdülaziz,m,ar
Abdülbaki,m,ar
Abdülbari,m,ar
Abdülbasir,m,ar
Abdülbasit,m,ar
Abdülbedi,m,ar
Abdülberr,m,ar
Abdülcabbar,m,ar
Abdülcebbar,m,ar
Abdülcelil,m,ar
Abdülcemal,m,ar
Abdülcevat,m,ar
Abdülehad,m,ar
Abdülesed,m,ar
Abdülevvel,m,ar
Abdülezel,m,ar
Abdülferid,m,ar
Abdülferit,m,ar
Abdülfettah,m,ar
Abdülgaffar,m,ar
Abdülgaffur,m,ar
Abdülgafur,m,ar
Abdülgani,m,ar
Abdülhadi,m,ar
Abdülhak,m,ar
Abdülhakim,m,ar
Abdülhalik,m,ar
Abdülhalim,m,ar
Abdülhamit,m,ar
Abdülkadir,m,ar
Abdülkahhar,m,ar
Abdülkerim,m,ar
Abdullah,m,ar
Abdüllatif,m,ar
Abdülmecit,m,ar
Abdülmelik,m,ar
Abdülmennan,m,ar
Abdülmetin,m,ar
Abdülnasır,m,ar
Abdülvahap,m,ar
Abdülvahit,m,ar
Abdürrahim,m,ar
Abdurrahman,m,ar
Abdürrauf,m,ar
Abdürreşid,m,ar
Abdürreşit,m,ar
Abdürrezzak,m,ar
Abdüşşahid,m,ar
Abdüssamed,m,ar
Abdüssamet,m,ar
Abdüssami,m,ar
Abdüşşekür,m,ar
Abdüsselam,m,ar
Abdüssemi,m,ar
Abdüssettar,m,ar
Abdüzzahir,m,ar
Abdüzzeki,m,ar
Abendam,f,pr
Aber,m,ar
Abgül,f,pr
Abgun,m,pr
Abher,u,ar
Abhiz,m,pr
Abid,m,ar
Abide,u,ar
Abidin,m,ar
Abil,m,ar
Abit,m,ar
Abiye,f,ar
Abıhayat,f,ar-pr
Abılayhan,m,tr
Abır,m,tr
Abıru,f,pr
Abışkanoyan,m,tr
Ablak,m,tr
Abraş,m,ar
Abruy,f,pr
Abşar,f,ar
Abuşka,m,tr
Abuzer,m,pr
Abuzettin,m,ar
Aca,m,tr
Acabay,m,tr
Acabey,m,tr
Acahan,m,tr
Açalya,f,gr
Açangül,f,tr
Acar,m,n/a
Acaralp,m,tr
Acarbay,m,tr
Acarbegüm,f,tr
Acarbey,m,tr
Acarbike,f,tr
Acarbüke,f,tr
Acarer,m,tr
Acarhatun,f,tr
Acarkan,u,tr
Acarkatun,f,tr
Acarman,m,tr
Acaröz,m,tr
Acarsoy,m,tr
Acartürk,m,tr
Acatay,m,n/a
Açe,f,tr
Açelya,f,n/a
Acem,m,ar
Acer,f,ar
Açine,m,tr
Acıdaş,m,tr
Açıkalın,m,tr
Açıkel,m,tr
Açıker,m,tr
Açıkgün,m,tr
Açıl,f,tr
Açılay,f,tr
Açkıngül,f,pr-tr
Aclan,m,ar
Acun,m,tr
Acunal,m,tr
Acunalan,m,tr
Acunalp,m,tr
Acunbegim,f,tr
Acunbegüm,f,tr
Acunbike,f,tr
Acunbüke,f,tr
Acuner,m,tr
Acungüneş,f,tr
Acunışık,f,tr
Acunman,m,tr
Acunseven,m,tr
Ad,m,ar
Ada,m,tr
Adahan,m,tr
Adak,u,tr
Adal,m,tr
Adalan,m,tr
Adaleddin,m,ar
Adalet,f,n/a
Adalettin,m,ar
Adam,m,ar
Adamış,m,tr
Adanan,m,tr
Adanır,u,tr
Adar,u,tr
Adarkan,m,tr
Adaş,m,tr
Adasal,m,tr
Aday,m,tr
Adem,m,ar
Adetullah,m,ar
Adeviye,f,ar
Adil,m,tr
Adile,f,n/a
Adilhan,m,ar
Adin,m,ar
Adiy,m,ar
Adıbelli,u,tr
Adıgün,m,tr
Adıgüzel,u,tr
Adışah,f,pr-tr
Adısanlı,m,tr
Adısönmez,m,n/a
Adıvar,m,tr
Adıyahşi,m,tr
Adıyaman,m,tr
Adlan,m,tr
Adlı,m,tr
Adlığ,m,tr
Adnan,m,ar
Adni,m,ar
Adniye,f,ar
Adsız,m,tr
Adsoy,m,tr
Adviye,f,ar
Afacan,m,tr
Afak,u,ar
Afer,m,ar
Afet,f,n/a
Affan,m,tr
Afi,f,ar
Afif,m,ar
Afife,f,n/a
Afitap,f,n/a
Afiye,f,ar
Afiyet,f,ar
Afra,f,n/a
Afşar,m,tr
Afşin,m,tr
Aftabe,f,pr
Afuv,m,ar
Ağa,m,tr
Ağabay,m,tr
Ağacan,m,pr
Agah,m,n/a
Ağahan,m,tr
Ağahanım,f,tr
Ağahatun,f,tr
Ağakan,m,tr
Ağakatun,f,tr
Ağan,u,tr
Ağanbegim,f,tr
Ağanbegüm,f,tr
Ağanbike,f,tr
Ağanbüke,f,tr
Ağaner,m,tr
Ağaoğlu,m,tr
Ağar,m,tr
Ağarantan,m,tr
Ağaverdi,m,tr
Ağbacı,f,tr
Ağbegim,f,tr
Ağbegüm,f,tr
Ağbet,f,tr
Ağbilek,f,tr
Ağca,u,tr
Ağcabey,m,tr
Ağçelik,m,tr
Ager,m,tr
Ağgül,f,pr-tr
Agil,m,pr
Ağın,m,tr
Ağırtaş,m,tr
Ağış,u,tr
Ağkız,f,tr
Ağnak,m,tr
Agra,m,ar
Aguş,f,pr
Ağyar,m,ar
Ahad,m,ar
Ahavi,m,ar
Ahbari,m,ar
Ahdi,m,ar
Ahen,m,pr
Ahenk,f,pr
Ahfa,u,ar
Ahfaz,m,ar
Ahfeş,m,ar
Ahi,m,ar
Ahid,m,ar
Ahıska,m,tr
Ahkaf,m,ar
Ahla,f,ar
Ahlas,m,ar
Ahmed,m,n/a
Ahmer,m,ar
Ahmet,m,ar
Ahnef,m,ar
Ahnes,m,ar
Ahra,f,ar
Ahsa,u,ar
Ahsen,f,ar
Ahter,u,pr
Ahu,f,n/a
Ahver,m,ar
Ahves,m,ar
Aişe,f,ar
Ajda,f,n/a
Ajlan,m,ar
Ak,f,tr
Aka,m,tr
Akabay,m,tr
Akabe,m,ar
Akabey,m,tr
Akad,m,n/a
Akadlı,m,tr
Akağan,m,tr
Akal,m,tr
Akalan,m,tr
Akalın,u,tr
Akalp,m,tr
Akaltan,m,tr
Akan,m,tr
Akanay,u,tr
Akaner,m,tr
Akansel,m,tr
Akansu,m,tr
Akant,m,tr
Akanyıldız,m,tr
Akar,m,tr
Akarca,m,tr
Akarçay,m,tr
Akarsel,m,ar-tr
Akarsu,u,tr
Akartuna,m,tr
Akartürk,m,tr
Akasma,u,tr
Akasoy,m,tr
Akasya,f,n/a
Akata,m,tr
Akatay,m,tr
Akay,u,tr
Akaydın,m,tr
Akbacı,f,tr
Akbal,u,tr
Akbaran,m,pr-tr
Akbaş,m,tr
Akbaşak,u,tr
Akbatu,m,tr
Akbatur,m,tr
Akbay,m,tr
Akbayar,m,tr
Akbehmen,m,tr
Akbek,m,tr
Akbel,m,tr
Akbet,m,tr
Akbey,m,tr
Akbil,m,tr
Akbilge,u,tr
Akboğa,m,tr
Akbora,m,tr
Akbörü,m,tr
Akboy,m,tr
Akbudun,m,tr
Akbuğ,m,tr
Akbulut,m,tr
Akburak,m,tr
Akburç,m,ar-tr
Akburçak,m,tr
Akça,u,tr
Akçabay,m,tr
Akçael,m,tr
Akçagül,f,pr-tr
Akçakan,m,tr
Akçakaya,m,tr
Akçakiraz,f,tr
Akçakıl,m,tr
Akçakoca,m,tr
Akçal,m,tr
Akçalı,m,tr
Akçam,m,tr
Akçan,u,pr-tr
Akçar,m,tr
Akçasu,u,tr
Akçay,m,tr
Akcebe,m,tr
Akçer,m,tr
Akçiçek,f,tr
Akçit,m,tr
Akcivan,m,pr-tr
Akçığır,m,tr
Akçıl,u,tr
Akçınar,m,pr-tr
Akçora,m,tr
Akda,f,ar
Akdağ,m,tr
Akdal,m,tr
Akdamar,m,tr
Akdemir,m,tr
Akdeniz,m,tr
Akdes,u,tr
